"SampleID","Individual_ID","UniProt","GeneID","Assay","NPX","Panel","Index"
"CV1_13","CV1","P17813","ENG","ENG",1.53449,"CM",13
"C237_14","C237","P17813","ENG","ENG",1.46289,"CM",14
"CV2_15","CV2","P17813","ENG","ENG",1.40601,"CM",15
"C189_16","C189","P17813","ENG","ENG",1.41845,"CM",16
"CV42_17","CV42","P17813","ENG","ENG",2.14309,"CM",17
"CV79_18","CV79","P17813","ENG","ENG",1.49656,"CM",18
"CV3_19","CV3","P17813","ENG","ENG",1.46727,"CM",19
"CV36_20","CV36","P17813","ENG","ENG",1.98758,"CM",20
"CV55_21","CV55","P17813","ENG","ENG",1.60249,"CM",21
"C246_22","C246","P17813","ENG","ENG",1.50829,"CM",22
"CV30_23","CV30","P17813","ENG","ENG",1.38257,"CM",23
"CV19_24","CV19","P17813","ENG","ENG",1.55348,"CM",24
"CV13_25","CV13","P17813","ENG","ENG",1.36071,"CM",25
"C137_26","C137","P17813","ENG","ENG",1.58563,"CM",26
"CV47_27","CV47","P17813","ENG","ENG",2.13268,"CM",27
"CV29_28","CV29","P17813","ENG","ENG",1.97705,"CM",28
"CV14_29","CV14","P17813","ENG","ENG",1.61645,"CM",29
"CV56_30","CV56","P17813","ENG","ENG",2.25787,"CM",30
"CV82_31","CV82","P17813","ENG","ENG",1.60766,"CM",31
"CV23_32","CV23","P17813","ENG","ENG",1.49991,"CM",32
"CV37_33","CV37","P17813","ENG","ENG",2.48115,"CM",33
"CV34_34","CV34","P17813","ENG","ENG",1.78705,"CM",34
"CV58_35","CV58","P17813","ENG","ENG",2.11261,"CM",35
"CV22_36","CV22","P17813","ENG","ENG",2.43131,"CM",36
"CV65_37","CV65","P17813","ENG","ENG",1.73691,"CM",37
"CV79_38","CV79","P17813","ENG","ENG",1.35135,"CM",38
"CV1_39","CV1","P17813","ENG","ENG",1.3927,"CM",39
"CV51_40","CV51","P17813","ENG","ENG",1.5462,"CM",40
"CV42_41","CV42","P17813","ENG","ENG",2.43601,"CM",41
"CV19_42","CV19","P17813","ENG","ENG",2.02905,"CM",42
"CV70_43","CV70","P17813","ENG","ENG",1.96522,"CM",43
"C78_44","C78","P17813","ENG","ENG",2.12431,"CM",44
"CV10_45","CV10","P17813","ENG","ENG",1.28962,"CM",45
"CV8_46","CV8","P17813","ENG","ENG",1.11268,"CM",46
"CV60_47","CV60","P17813","ENG","ENG",1.9688,"CM",47
"CV35_48","CV35","P17813","ENG","ENG",1.90728,"CM",48
"CV48_49","CV48","P17813","ENG","ENG",1.75961,"CM",49
"CV76_50","CV76","P17813","ENG","ENG",2.00694,"CM",50
"CV12_51","CV12","P17813","ENG","ENG",1.72057,"CM",51
"C58_52","C58","P17813","ENG","ENG",1.63136,"CM",52
"CV53_53","CV53","P17813","ENG","ENG",2.10896,"CM",53
"CV50_54","CV50","P17813","ENG","ENG",1.77119,"CM",54
"CV32_56","CV32","P17813","ENG","ENG",1.4034,"CM",56
"C197_57","C197","P17813","ENG","ENG",1.86474,"CM",57
"CV18_58","CV18","P17813","ENG","ENG",1.82637,"CM",58
"CV29_59","CV29","P17813","ENG","ENG",2.05448,"CM",59
"CV34_60","CV34","P17813","ENG","ENG",1.76174,"CM",60
"CV41_61","CV41","P17813","ENG","ENG",1.84528,"CM",61
"CV9_62","CV9","P17813","ENG","ENG",1.76781,"CM",62
"CV74_63","CV74","P17813","ENG","ENG",2.00132,"CM",63
"CV16_64","CV16","P17813","ENG","ENG",1.58401,"CM",64
"CV21_1","CV21","P55058","PLTP","PLTP",1.52198,"CM",1
"C161_2","C161","P55058","PLTP","PLTP",1.68458,"CM",2
"C173_3","C173","P55058","PLTP","PLTP",1.94061,"CM",3
"CV11_4","CV11","P55058","PLTP","PLTP",1.75497,"CM",4
"CV59_5","CV59","P55058","PLTP","PLTP",1.67465,"CM",5
"C193_6","C193","P55058","PLTP","PLTP",2.06283,"CM",6
"C33_7","C33","P55058","PLTP","PLTP",1.86112,"CM",7
